alpha,Cd,Cs,Cl,Cm
-10,0.01668844744563103,0,-1.07083523273468,0.02750959433615208
-9.5,0.01593392714858055,0,-1.033374547958374,0.03072576597332954
-9,0.0152434166520834,0,-0.9944552183151245,0.03384928032755852
-8.5,0.01459616515785456,0,-0.9536026120185852,0.03682348877191544
-8,0.01398176979273558,0,-0.9106281995773315,0.03959477692842484
-7.5,0.01339414995163679,0,-0.8655818700790405,0.04211448505520821
-7,0.01283392962068319,0,-0.8185404539108276,0.04435063526034355
-6.5,0.0123175997287035,0,-0.7694017887115479,0.04627136513590813
-6,0.01188064552843571,0,-0.7178879976272583,0.04783960059285164
-5.5,0.01155781000852585,0,-0.66389000415802,0.0490361824631691
-5,0.01135238632559776,0,-0.6077867746353149,0.04989512637257576
-4.5,0.01123364455997944,0,-0.5503157377243042,0.050497867166996
-4,0.01116452179849148,0,-0.4921349287033081,0.05092761665582657
-3.5,0.01112291589379311,0,-0.4335593283176422,0.05124056339263916
-3,0.01110248826444149,0,-0.3746382892131805,0.05146948248147964
-2.5,0.01110436767339706,0,-0.3153650164604187,0.05163341760635376
-2,0.01113004051148891,0,-0.2557927072048187,0.0517440028488636
-1.5,0.01117870304733515,0,-0.1960310637950897,0.05181077122688293
-1,0.0112477308139205,0,-0.1362015008926392,0.05184367299079895
-0.5,0.01133395358920097,0,-0.07640534639358521,0.05185257270932198
0,0.01143443770706654,0,-0.01672309637069702,0.05184623599052429
0.5,0.01154684741050005,0,0.0427858754992485,0.05183158069849014
1,0.01166974008083344,0,0.1020800992846489,0.05181368440389633
1.5,0.01180280745029449,0,0.1611367166042328,0.05179481580853462
2,0.01194707863032818,0,0.2199523448944092,0.0517764687538147
2.5,0.01210471522063017,0,0.2785405814647675,0.0517597496509552
3,0.01227802410721779,0,0.3369210958480835,0.05174840614199638
3.5,0.0124675091356039,0,0.3950847685337067,0.05175323039293289
4,0.01266851928085089,0,0.4529347121715546,0.05179393291473389
4.5,0.01286874338984489,0,0.5102200508117676,0.0518958568572998
5,0.01305248681455851,0,0.5665905475616455,0.05208259075880051
5.5,0.01321546733379364,0,0.6218646764755249,0.05237157270312309
6,0.01336944289505482,0,0.676061749458313,0.05279102921485901
6.5,0.01352479960769415,0,0.7290707230567932,0.05341538786888123
7,0.01370824594050646,0,0.7810930609703064,0.05423379689455032
7.5,0.01398088317364454,0,0.8326045274734497,0.05502871423959732
8,0.01437074318528175,0,0.8833516836166382,0.05580126494169235
8.5,0.01487554144114256,0,0.9327719211578369,0.05675375461578369
9,0.01550603751093149,0,0.9822582006454468,0.05757784843444824
9.5,0.0162595808506012,0,1.034767150878906,0.05752096325159073
10,0.01709212362766266,0,1.090573906898499,0.05646248534321785
10.5,0.01795945502817631,0,1.148711681365967,0.05460407212376595
11,0.01886416040360928,0,1.208355188369751,0.0520460307598114
11.5,0.01985609345138073,0,1.265283823013306,0.0494815930724144
12,0.02103145606815815,0,1.310659885406494,0.04847922921180725
12.5,0.02258775569498539,0,1.338327407836914,0.04992645233869553
13,0.02485140599310398,0,1.350458025932312,0.05281956866383553
13.5,0.02815711684525013,0,1.352763891220093,0.05548108369112015
14,0.03268170356750488,0,1.349401950836182,0.05693686753511429
14.5,0.03841021284461021,0,1.342332124710083,0.05701802298426628
15,0.04522908478975296,0,1.332227230072021,0.05588290840387344
15.5,0.0529710128903389,0,1.319514751434326,0.0537576861679554
16,0.06140046939253807,0,1.304988384246826,0.05090049654245377
16.5,0.07023603469133377,0,1.289916038513184,0.04757257178425789
17,0.07920604199171066,0,1.275732636451721,0.04399468749761581
17.5,0.0881410613656044,0,1.26310932636261,0.04028596356511116
18,0.09712931513786316,0,1.250430226325989,0.03636711835861206
18.5,0.1067096740007401,0,1.232382535934448,0.03188507631421089
19,0.1179396659135818,0,1.200934410095215,0.02632922492921352
19.5,0.1315322518348694,0,1.153699517250061,0.01958118006587029
20,0.1453907340764999,0,1.106269478797913,0.01254945993423462
