alpha,Cd,Cs,Cl,Cm
-180,1,0,-3.183364868164062,-2.710425615310669
-179,1,0,-3.184689521789551,-2.71399450302124
-178,1,0,-3.186124801635742,-2.717472076416016
-177,1,0,-3.187509536743164,-2.720910310745239
-176,1,0,-3.18864917755127,-2.724374294281006
-175,1,0,-3.189281463623047,-2.727946758270264
-174,1,0,-3.18909740447998,-2.731710433959961
-173,1,0,-3.187695503234863,-2.735776901245117
-172,1,0,-3.184689521789551,-2.740224123001099
-171,1,0,-3.179865837097168,-2.745104312896729
-170,1,0,-3.173080444335938,-2.750426530838013
-169,1,0,-3.164335250854492,-2.756154298782349
-168,1,0,-3.153745651245117,-2.76226019859314
-167,1,0,-3.141529083251953,-2.768665790557861
-166,1,0,-3.127912521362305,-2.775310516357422
-165,1,0,-3.113240242004395,-2.782121181488037
-164,1,0,-3.097753524780273,-2.789043188095093
-163,1,0,-3.081718444824219,-2.796017408370972
-162,1,0,-3.065454483032227,-2.802968502044678
-161,1,0,-3.049150466918945,-2.809860944747925
-160,1,0,-3.033024787902832,-2.816642761230469
-159,1,0,-3.017230033874512,-2.823290348052979
-158,1,0,-3.001889228820801,-2.829768419265747
-157,1,0,-2.987112045288086,-2.836075305938721
-156,1,0,-2.972982406616211,-2.842188358306885
-155,1,0,-2.959510803222656,-2.848114013671875
-154,1,0,-2.94680118560791,-2.853846788406372
-153,1,0,-2.934779167175293,-2.859401941299438
-152,1,0,-2.923469543457031,-2.864772319793701
-151,1,0,-2.912799835205078,-2.869981527328491
-150,1,0,-2.902721405029297,-2.875026702880859
-149,1,0,-2.893185615539551,-2.879904270172119
-148,1,0,-2.884097099304199,-2.884623050689697
-147,1,0,-2.87539005279541,-2.889175891876221
-146,1,0,-2.867013931274414,-2.893558502197266
-145,1,0,-2.858944892883301,-2.897740840911865
-144,1,0,-2.851154327392578,-2.901718139648438
-143,1,0,-2.843688011169434,-2.905459880828857
-142,1,0,-2.836466789245605,-2.908966541290283
-141,1,0,-2.829656600952148,-2.912189483642578
-140,1,0,-2.823295593261719,-2.915117263793945
-139,1,0,-2.817373275756836,-2.917742490768433
-138,1,0,-2.81202220916748,-2.920035600662231
-137,1,0,-2.807235717773438,-2.922000885009766
-136,1,0,-2.803141593933105,-2.923611879348755
-135,1,0,-2.799659729003906,-2.924890995025635
-134,1,0,-2.796911239624023,-2.925823211669922
-133,1,0,-2.79484748840332,-2.926417589187622
-132,1,0,-2.793472290039062,-2.926684141159058
-131,1,0,-2.792746543884277,-2.926640033721924
-130,1,0,-2.792593955993652,-2.926311016082764
-129,1,0,-2.793010711669922,-2.925702571868896
-128,1,0,-2.793981552124023,-2.924825429916382
-127,1,0,-2.795366287231445,-2.92371940612793
-126,1,0,-2.797172546386719,-2.922380208969116
-125,1,0,-2.799363136291504,-2.920818328857422
-124,1,0,-2.80190372467041,-2.91905665397644
-123,1,0,-2.804800033569336,-2.917081356048584
-122,1,0,-2.808096885681152,-2.914905071258545
-121,1,0,-2.811755180358887,-2.912540912628174
-120,1,0,-2.815840721130371,-2.909983158111572
-119,1,0,-2.820366859436035,-2.907246112823486
-118,1,0,-2.825358390808105,-2.904340267181396
-117,1,0,-2.830870628356934,-2.901258707046509
