alpha,Cd,Cs,Cl,Cm
-10,0.01488651894032955,0,-1.167797923088074,0.02789490297436714
-9.5,0.01445892360061407,0,-1.119962573051453,0.02941480837762356
-9,0.01391468103975058,0,-1.069652080535889,0.03042752109467983
-8.5,0.01336815487593412,0,-1.016629695892334,0.03134032338857651
-8,0.01286513544619083,0,-0.9626451730728149,0.03217773884534836
-7.5,0.0124148353934288,0,-0.9085456132888794,0.0329304151237011
-7,0.01201079599559307,0,-0.8543432950973511,0.03361606597900391
-6.5,0.01164312195032835,0,-0.7997097969055176,0.03422299772500992
-6,0.01130127161741257,0,-0.7444521188735962,0.03473227098584175
-5.5,0.01097620651125908,0,-0.6885543465614319,0.03515566512942314
-5,0.01066575013101101,0,-0.6320531964302063,0.03551975637674332
-4.5,0.0103768277913332,0,-0.5749601721763611,0.03583217784762383
-4,0.01012472994625568,0,-0.5172330737113953,0.0360831506550312
-3.5,0.009926211088895798,0,-0.4588488936424255,0.03625953942537308
-3,0.009783737361431122,0,-0.3999398350715637,0.03634908050298691
-2.5,0.009676335379481316,0,-0.3408025503158569,0.0363420769572258
-2,0.009576138108968735,0,-0.2817028164863586,0.03625087812542915
-1.5,0.009473942220211029,0,-0.2226760238409042,0.03612761944532394
-1,0.009380199946463108,0,-0.1636522859334946,0.03601779788732529
-0.5,0.009304270148277283,0,-0.1045610457658768,0.03591800481081009
0,0.009250273928046227,0,-0.04521220922470093,0.03581547737121582
0.5,0.009218486025929451,0,0.01443043351173401,0.03569833189249039
1,0.009203996509313583,0,0.07422181963920593,0.03556695580482483
1.5,0.009204830043017864,0,0.1339324712753296,0.03542841225862503
2,0.009222843684256077,0,0.1934026181697845,0.03528823330998421
2.5,0.009266719222068787,0,0.2527536749839783,0.03514916449785233
3,0.009351225569844246,0,0.3120801448822021,0.03499318286776543
3.5,0.009480824694037437,0,0.3712985515594482,0.03481432795524597
4,0.009644283913075924,0,0.4302680194377899,0.03463321179151535
4.5,0.009821800515055656,0,0.4888583421707153,0.0344914123415947
5,0.009999116882681847,0,0.5471459627151489,0.0344051793217659
5.5,0.01017756294459105,0,0.6054391860961914,0.03433506935834885
6,0.01036513689905405,0,0.6639235019683838,0.03424937650561333
6.5,0.01056506671011448,0,0.7222716808319092,0.03421920537948608
7,0.01077884901314974,0,0.7796280980110168,0.03442679718136787
7.5,0.01101529970765114,0,0.83555668592453,0.03495799750089645
8,0.01129597518593073,0,0.8922948837280273,0.03528612107038498
8.5,0.01164707075804472,0,0.954289436340332,0.03437259048223495
9,0.01207192800939083,0,1.022594451904297,0.03191826865077019
9.5,0.01254396326839924,0,1.092293620109558,0.02893453277647495
10,0.01303705479949713,0,1.156520247459412,0.02687272429466248
10.5,0.01355840265750885,0,1.212330341339111,0.02636533416807652
11,0.01414439734071493,0,1.261304378509521,0.02708804607391357
11.5,0.01482694782316685,0,1.306272149085999,0.02846509777009487
12,0.01560498587787151,0,1.34964644908905,0.03005915321409702
12.5,0.01643061824142933,0,1.393480539321899,0.03160430863499641
13,0.01721617579460144,0,1.439527869224548,0.03297087550163269
13.5,0.0178798008710146,0,1.488621115684509,0.03416837379336357
14,0.01842213794589043,0,1.539654135704041,0.03536608815193176
14.5,0.01899842917919159,0,1.58893358707428,0.03679714351892471
15,0.019972313195467,0,1.630662441253662,0.0383533388376236
15.5,0.02189440466463566,0,1.659075498580933,0.03921574354171753
16,0.02527094073593616,0,1.671360969543457,0.03850686922669411
16.5,0.03027868270874023,0,1.668652534484863,0.03626199811697006
17,0.03677954152226448,0,1.654594659805298,0.03307582810521126
17.5,0.04447062313556671,0,1.633787631988525,0.02946220338344574
18,0.05296102166175842,0,1.610642075538635,0.02575289644300938
18.5,0.06192931532859802,0,1.587833166122437,0.02207222953438759
19,0.07136617600917816,0,1.564780712127686,0.01825001835823059
19.5,0.08169855177402496,0,1.537318110466003,0.01382948458194733
20,0.09359484910964966,0,1.500028252601624,0.008332503028213978
