beta,CL,CD,CS,CMx,CMy,CMz
0.0,0.7120436554796986,0.07662687789529157,-7.954405467299448e-17,1.1827719186288436e-16,-0.0001864853564605676,-4.925016187147701e-17
1.0,0.7116603245487578,0.07680153312156264,0.018996872593563637,-0.052552316942620594,-0.0006889292058198439,0.003907767179838703
2.0,0.7104463388248665,0.07733812415844273,0.03803473842012218,-0.10525099907577691,-0.00211250215692057,0.007863293050767897
3.0,0.7083446518951892,0.0782414558546407,0.057117814838983594,-0.15811156377213442,-0.004399416435711189,0.011901553322813844
4.0,0.7053284207460065,0.07951874142885111,0.0762482791574605,-0.21113092952474596,-0.007478674218929981,0.016035167560766225
5.0,0.70133119264066,0.081169517225965,0.09535797544549751,-0.26413967165412716,-0.011290469168476926,0.020277476733262884
6.0,0.6964194192519071,0.08320094926029092,0.11437836109609564,-0.3169530306759651,-0.01580076817201549,0.024604104252488164
7.0,0.6906487148739349,0.08561727786802872,0.1332928535102931,-0.3695402612833649,-0.021003863555930237,0.029028927246633078
8.0,0.684014647822008,0.08840267391050305,0.1519516980024465,-0.421500348984093,-0.02688005080137827,0.03348167739546423
9.0,0.6766077250711742,0.09155190575826778,0.17030275108924967,-0.4726880323317805,-0.03338012550290385,0.037991672815400994
10.0,0.6686071446926664,0.09501628400688468,0.18823907469372977,-0.5227854433929889,-0.04068784648822687,0.04244289952422573
11.0,0.6465268112652202,0.10104416335883563,0.18253951161209955,-0.4990448428020242,-0.020649132968832074,0.041810843520448004
12.0,0.6395510408544192,0.10510612383126923,0.19963629064951507,-0.5466114810263601,-0.02903910613430737,0.04583492312341754
