aoa,CL,CD,CL/CD,CS,CMx,CMy,CMz
-12.0,-0.4854701380913627,0.14561147835286642,-3.3340100902959207,-1.846109319838099e-16,-3.179180725910053e-16,-0.0730325099015982,1.2998282252018999e-16
-11.0,-0.45015247567066313,0.1368507691719593,-3.2893675234300352,-1.0561513817259203e-16,6.257390559775324e-17,-0.05763978439668868,3.7002939539068066e-18
-10.0,-0.4116570443790949,0.12738372534432324,-3.2316298119431632,5.4486183840993283e-17,7.084790925142299e-17,-0.04199347391080639,-1.901048752608792e-17
-9.0,-0.37561637801883657,0.11822978935668021,-3.177002852349356,-1.7184245253824378e-16,-7.216614034200765e-17,-0.028125232455102643,1.784257334510117e-17
-8.0,-0.34396366339160134,0.1094078743888156,-3.143865698086934,1.0339533068277379e-16,2.23257861299021e-16,-0.01664987566494931,-3.8885187721934145e-17
-7.0,-0.3162288004272579,0.10077216419516986,-3.138057051298449,1.1594366393100255e-17,3.024919640841635e-17,-0.008147378595296389,1.3497844943486664e-19
-6.0,-0.2790438812013771,0.09174927701836766,-3.041374169580804,-1.0737630775129081e-16,-1.507972225218827e-16,0.0003976497094488553,2.0115294899546684e-17
-5.0,-0.22704320705858244,0.08254600486337942,-2.750505096332137,-2.3326324159536353e-16,-2.4672658183193e-16,0.009911599127393695,1.8851405782111116e-17
-4.0,-0.16234403988401758,0.07361296653626821,-2.2053728782147726,8.598543557667863e-17,1.436801770062261e-16,0.02070131614151237,-7.355449010762342e-18
-3.0,-0.092781052467006,0.06588574592161084,-1.4082113083669798,-1.8454672267625318e-16,-1.4087192407123055e-16,0.03162896828171804,2.6764298259370698e-17
-2.0,-0.02101809123684572,0.05977097280925931,-0.3516437870924152,-6.2205059885134e-17,-6.354154331318241e-17,0.04214019220161263,6.023194185171451e-18
-1.0,0.05169368212073523,0.05532533477521211,0.9343582344466175,-1.197073612891267e-17,9.47829189732888e-18,0.05239747261158465,1.1765913670218504e-17
0.0,0.1255788988729518,0.05243158237127158,2.395100303929779,-5.83846060855088e-17,-4.2032639747392626e-17,0.06297577660293273,7.215211660700144e-18
1.0,0.20179039629071988,0.05106064073839882,3.9519754036100196,-1.613212988571631e-16,-2.578754511618748e-16,0.07479062915078019,2.6781827928128472e-17
2.0,0.28281591701078274,0.051154795427501815,5.528629616193038,-2.380147303545612e-16,-1.1381663331048078e-16,0.0881970000871882,3.13430477389015e-17
3.0,0.3673885750185726,0.05273838580003261,6.96624611173339,6.4631254434956e-17,-1.2248330154432469e-16,0.1024996702243132,1.4053535443108128e-17
4.0,0.4512783860788419,0.05599222147955337,8.059662112953221,1.9780135830760592e-16,6.395243874886466e-16,0.11756534793502073,3.87800097093875e-17
5.0,0.5309464446715841,0.06084572979350429,8.726108577766889,3.797521904069229e-17,-2.4495257935364316e-16,0.13351531183618093,-3.4347632963984116e-17
6.0,0.6070229577042404,0.06691615438581237,9.07139633584416,-3.866867956230493e-16,-7.331889135951894e-16,0.14973397453337936,2.8476946897005306e-18
7.0,0.6814417233987289,0.07399645185222559,9.209113495868698,1.8466596853314424e-16,3.472557262240174e-16,0.16539394831632173,7.217578165982444e-17
8.0,0.7540205881540772,0.08202002829996892,9.19312762727202,-4.763963710380181e-16,1.0629991134714693e-16,0.18022497215386188,9.670066473538939e-17
9.0,0.824251138866672,0.09089714503592575,9.067954098458197,-3.9912505577260933e-16,-7.360217080664457e-16,0.19414159699575315,-4.734412938099841e-17
10.0,0.8914337671619595,0.10050473737292509,8.86956963883478,6.373232412916184e-16,1.3134630206825569e-15,0.20705008710708325,2.0396470786421393e-16
11.0,0.9548425176828091,0.11068389014658064,8.626752424569593,-4.0228048460111136e-16,-9.47499631960242e-16,0.21886211440911216,-1.4707742681148288e-16
12.0,1.014254407486692,0.12135661005177292,8.357636284121588,-6.367361847653854e-16,-4.1255023641297726e-16,0.22964142106736554,6.422870632848718e-18
13.0,1.0513166370927913,0.1352141536107716,7.77519667148987,-6.100984948875666e-16,-6.078447701095958e-16,0.2347100651394255,-3.1595474969013457e-17
14.0,1.0316358272902262,0.15498019274099897,6.656565649097388,3.958228628125492e-16,5.2235608151167925e-16,0.2246853686493679,1.1533119669115254e-16
15.0,0.9868373082640147,0.1725609213992602,5.718776303823361,-8.127797605694835e-16,-9.655061077082282e-16,0.2054171095768774,-7.321792046747414e-17
16.0,0.9836491543510544,0.1888137035453261,5.209627987170552,-8.805847893493864e-18,2.95003289590842e-16,0.19975905923195608,9.096495711784545e-17
17.0,0.9797755350830848,0.20470488140531484,4.786283201244885,6.854618764427182e-16,6.235513533165621e-16,0.19360754112844047,1.0914672955340956e-16
18.0,0.9747482903811209,0.2203071157669274,4.424497533762596,-4.875504450364436e-16,-3.783603704678132e-16,0.1874381053221056,-8.137973424109414e-17
19.0,0.9645109341474081,0.23524584982133787,4.100012539562016,-9.588100714699237e-16,-8.926387806159097e-16,0.17961586205170016,-1.711526738834109e-16
20.0,0.954707579379429,0.24975030887471641,3.822648242883031,1.2093364440398241e-16,4.07810213980875e-17,0.17171401474877807,-8.645632631334576e-18
21.0,0.9516120113912585,0.26702848210758234,3.56370977313149,6.387908826072008e-16,4.060151759000788e-16,0.16868418546519715,1.28050724341794e-16
22.0,0.9414275973540057,0.2829835375386923,3.3267928076038147,-1.79125622566821e-16,-7.965481483532909e-17,0.16303102436723585,-1.2726539518144567e-17
23.0,0.9378313843657846,0.30062777495959714,3.1195766408869723,3.049758653780042e-16,2.0541967037110924e-16,0.16024803146083755,1.897411346341554e-17
